ConstCode,Const,Region ,Result,First party,Second party,Lab-Con24P,Valid_votersP,ConP,LabP,LibDemP,OtherP
E14001063,Aldershot,South East,Lab gain from Con,Lab,Con,11.70%,61.80%,29.00%,40.70%,8.30%,21.90%
E14001064,Aldridge-Brownhills,West Midlands,Con hold,Con,Lab,-10.50%,58.22%,38.90%,28.40%,4.30%,28.50%
E14001065,Altrincham and Sale West,North West,Lab gain from Con,Lab,Con,8.10%,69.51%,32.30%,40.40%,9.20%,18.10%
E14001066,Amber Valley,East Midlands,Lab gain from Con,Lab,RUK,11.80%,59.45%,25.20%,37.00%,3.70%,34.00%
E14001067,Arundel and South Downs,South East,Con hold,Con,LD,-22.30%,70.21%,40.20%,17.90%,18.00%,23.90%
E14001068,Ashfield,East Midlands,RUK gain from Con,RUK,Lab,20.80%,57.86%,8.20%,29.00%,1.60%,61.30%
E14001069,Ashford,South East,Lab gain from Con,Lab,Con,3.80%,61.62%,28.70%,32.50%,5.20%,33.60%
E14001070,Ashton-under-Lyne,North West,Lab hold,Lab,RUK,31.60%,49.94%,12.30%,43.90%,4.00%,39.80%
E14001071,Aylesbury,South East,Lab gain from Con,Lab,Con,1.30%,63.08%,28.90%,30.20%,20.90%,20.00%
E14001072,Banbury,South East,Lab gain from Con,Lab,Con,6.70%,65.77%,31.60%,38.30%,9.00%,21.10%
E14001073,Barking,London,Lab hold,Lab,RUK,32.70%,45.70%,11.80%,44.50%,2.80%,41.00%
E14001074,Barnsley North,Yorkshire and The Humber,Lab hold,Lab,RUK,42.00%,47.13%,8.40%,50.40%,3.60%,37.60%
E14001075,Barnsley South,Yorkshire and The Humber,Lab hold,Lab,RUK,37.40%,46.25%,9.30%,46.70%,3.30%,40.70%
E14001076,Barrow and Furness,North West,Lab gain from Con,Lab,Con,12.60%,56.31%,31.30%,43.90%,4.00%,20.80%
E14001077,Basildon and Billericay,East of England,Con hold,Con,Lab,0.00%,54.80%,30.60%,30.60%,5.40%,33.30%
E14001078,Basingstoke,South East,Lab gain from Con,Lab,Con,13.20%,62.42%,29.50%,42.70%,6.50%,21.30%
E14001079,Bassetlaw,East Midlands,Lab gain from Con,Lab,Con,12.90%,57.42%,28.30%,41.20%,4.40%,26.10%
E14001080,Bath,South West,LD hold,LD,Lab,2.10%,69.09%,15.90%,18.00%,41.30%,24.80%
E14001081,Battersea,London,Lab hold,Lab,Con,25.60%,64.65%,23.20%,48.80%,10.30%,17.70%
E14001082,Beaconsfield,South East,Con hold,Con,LD,-23.70%,65.60%,38.80%,15.10%,27.30%,18.80%
E14001083,Beckenham and Penge,London,Lab hold,Lab,Con,24.70%,67.65%,24.60%,49.30%,8.50%,17.60%
E14001084,Bedford,East of England,Lab hold,Lab,Con,23.20%,56.10%,21.90%,45.10%,9.90%,23.10%
E14001085,Bermondsey and Old Southwark,London,Lab hold,Lab,LD,37.10%,54.12%,7.70%,44.80%,24.10%,23.40%
E14001086,Bethnal Green and Stepney,London,Lab hold,Lab,Ind,30.00%,57.28%,4.10%,34.10%,10.20%,51.60%
E14001087,Beverley and Holderness,Yorkshire and The Humber,Con hold,Con,Lab,-0.30%,62.36%,34.50%,34.20%,7.50%,23.70%
E14001088,Bexhill and Battle,South East,Con hold,Con,Lab,-5.60%,66.14%,33.90%,28.30%,7.30%,30.50%
E14001089,Bexleyheath and Crayford,London,Lab gain from Con,Lab,Con,4.90%,61.82%,31.30%,36.20%,5.10%,27.50%
E14001090,Bicester and Woodstock,South East,LD gain from Con,LD,Con,-12.40%,67.54%,28.80%,16.40%,38.70%,16.10%
E14001091,Birkenhead,North West,Lab hold,Lab,Green,44.60%,55.24%,7.50%,52.10%,5.30%,35.10%
E14001092,Birmingham Edgbaston,West Midlands,Lab hold,Lab,Con,22.30%,52.14%,22.00%,44.30%,5.60%,28.00%
E14001093,Birmingham Erdington,West Midlands,Lab hold,Lab,RUK,27.50%,44.07%,15.80%,43.30%,3.30%,37.60%
E14001094,Birmingham Hall Green and Moseley,West Midlands,Lab hold,Lab,Ind,21.60%,54.08%,9.20%,30.80%,11.30%,48.70%
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,Lab hold,Lab,WPB,17.60%,43.91%,13.60%,31.20%,2.80%,52.50%
E14001096,Birmingham Ladywood,West Midlands,Lab hold,Lab,Ind,36.40%,43.71%,6.10%,42.50%,4.70%,46.70%
E14001097,Birmingham Northfield,West Midlands,Lab gain from Con,Lab,Con,14.30%,50.85%,25.30%,39.60%,4.80%,30.30%
E14001098,Birmingham Perry Barr,West Midlands,Ind gain from Lab,Ind,Lab,22.80%,49.08%,11.30%,34.10%,3.50%,86.60%
E14001099,Birmingham Selly Oak,West Midlands,Lab hold,Lab,Con,30.00%,50.77%,15.20%,45.20%,6.00%,33.60%
E14001100,Birmingham Yardley,West Midlands,Lab hold,Lab,WPB,21.10%,49.38%,10.10%,31.20%,10.10%,48.70%
E14001101,Bishop Auckland,North East,Lab gain from Con,Lab,Con,16.50%,57.14%,25.60%,42.10%,3.40%,28.80%
E14001102,Blackburn,North West,Ind gain from Lab,Ind,Lab,17.80%,53.08%,8.90%,26.70%,1.80%,89.60%
E14001103,Blackley and Middleton South,North West,Lab hold,Lab,RUK,44.00%,43.35%,9.80%,53.80%,5.10%,31.30%
E14001104,Blackpool North and Fleetwood,North West,Lab gain from Con,Lab,Con,11.10%,57.01%,28.90%,40.00%,3.20%,27.90%
E14001105,Blackpool South,North West,Lab gain from Con,Lab,RUK,32.50%,45.42%,15.60%,48.10%,3.00%,33.30%
E14001106,Blaydon and Consett,North East,Lab hold,Lab,RUK,35.80%,59.89%,14.30%,50.10%,5.40%,30.20%
E14001107,Blyth and Ashington,North East,Lab hold,Lab,RUK,34.40%,52.75%,15.20%,49.60%,3.50%,31.70%
E14001108,Bognor Regis and Littlehampton,South East,Con hold,Con,Lab,-3.70%,62.23%,32.80%,29.10%,10.60%,27.50%
E14001109,Bolsover,East Midlands,Lab gain from Con,Lab,Con,14.90%,54.96%,25.60%,40.50%,3.50%,30.40%
E14001110,Bolton North East,North West,Lab gain from Con,Lab,Con,15.40%,54.19%,21.90%,37.30%,3.50%,37.30%
