PCON24CD,electorate
W07000112,52415
W07000111,70964
W07000110,70426
W07000109,70591
W07000108,74612
W07000107,73557
W07000106,73743
W07000105,76234
W07000104,76159
W07000103,74705
W07000102,74223
W07000101,72681
W07000100,76820
W07000099,74805
W07000098,69895
W07000097,76801
W07000096,72533
W07000095,76150
W07000094,76395
W07000093,74063
W07000092,73947
W07000091,72269
W07000090,71143
W07000089,72463
W07000088,72458
W07000087,72683
W07000086,70770
W07000085,72113
W07000084,71079
W07000083,70468
W07000082,75695
W07000081,69817
S14000111,73634
S14000110,74801
S14000109,69779
S14000108,74687
S14000107,72057
S14000106,70286
S14000105,77008
S14000104,71612
S14000103,76320
S14000102,69813
S14000101,69941
S14000100,70452
S14000099,72318
S14000098,76237
S14000097,75099
S14000096,71287
S14000095,75454
S14000094,76903
S14000093,70418
S14000092,74577
S14000091,70238
S14000090,69734
S14000089,72449
S14000088,70431
S14000087,71344
S14000086,75236
S14000085,73210
S14000084,69748
S14000083,75067
S14000082,76723
S14000081,73315
S14000080,70980
S14000079,76770
S14000078,75705
S14000077,75161
S14000076,70725
S14000075,75298
S14000074,70738
S14000073,76863
S14000072,70579
S14000071,70329
S14000070,72507
S14000069,75173
S14000068,71650
S14000067,71707
S14000066,76810
S14000065,77006
S14000064,72265
S14000063,70420
S14000062,71485
S14000061,76560
S14000060,76895
S14000051,34824
S14000048,73588
S14000045,71210
S14000027,21177
S14000021,72959
N05000018,70614
N05000017,76969
N05000016,70070
N05000015,71772
N05000014,71646
N05000013,70412
N05000012,71165
N05000011,74585
N05000010,70094
N05000009,76332
N05000008,69890
N05000007,74643
N05000006,72213
N05000005,69936
N05000004,71921
N05000003,71978
N05000002,71372
N05000001,70076
E14001605,72720
E14001604,74854
E14001603,76056
E14001602,76971
E14001601,77015
E14001600,71769
E14001599,76293
E14001598,76915
E14001597,73928
E14001596,75592
E14001595,75685
E14001594,70449
E14001593,70235
E14001592,71737
E14001591,70042
E14001590,75064
E14001589,72126
E14001588,74338
E14001587,76577
E14001586,74641
E14001585,75607
E14001584,70865
E14001583,73385
E14001582,71455
E14001581,70722
E14001580,72322
E14001579,76638
E14001578,76243
E14001577,73652
E14001576,70590
E14001575,75390
E14001574,72206
E14001573,74535
E14001572,69843
E14001571,76669
E14001570,70110
E14001569,70540
E14001568,70576
E14001567,71775
E14001566,75440
E14001565,76639
E14001564,72350
E14001563,70867
E14001562,74866
E14001561,73054
E14001560,73968
E14001559,69995
E14001558,75042
E14001557,73022
E14001556,75889
E14001555,75213
E14001554,73326
E14001553,75968
E14001552,74802
E14001551,75742
E14001550,76986
E14001549,73692
E14001548,70829
E14001547,73820
E14001546,73347
E14001545,74935
E14001544,76623
E14001543,76143
E14001542,72426
E14001541,70768
E14001540,76049
E14001539,75538
E14001538,73644
E14001537,72468
E14001536,72163
E14001535,74584
E14001534,71284
E14001533,70075
E14001532,70825
E14001531,72688
E14001530,72663
E14001529,76249
E14001528,73212
E14001527,76050
E14001526,72388
E14001525,73849
E14001524,69840
E14001523,70701
E14001522,69831
E14001521,69821
E14001520,70550
E14001519,70108
E14001518,69779
E14001517,74769
E14001516,70370
E14001515,73028
E14001514,70113
E14001513,70537
E14001512,74699
E14001511,70107
E14001510,70937
E14001509,76082
E14001508,74585
E14001507,70881
E14001506,72169
E14001505,72897
E14001504,74168
E14001503,76034
E14001502,76824
E14001501,70094
E14001500,69960
E14001499,72150
E14001498,71551
E14001497,72496
E14001496,71552
E14001495,75371
E14001494,71070
E14001493,77034
E14001492,69725
E14001491,72029
E14001490,76555
E14001489,69837
E14001488,75634
E14001487,76139
E14001486,71734
E14001485,76640
E14001484,71691
E14001483,71202
E14001482,72865
E14001481,75484
E14001480,73322
E14001479,70537
E14001478,71195
E14001477,75287
E14001476,73380
E14001475,76758
E14001474,76818
E14001473,75139
E14001472,74095
E14001471,76543
E14001470,76223
E14001469,74614
E14001468,76637
E14001467,70453
E14001466,71154
E14001465,73684
E14001464,74761
E14001463,74746
E14001462,74278
E14001461,73862
E14001460,70242
E14001459,72169
E14001458,70864
E14001457,76171
E14001456,73778
E14001455,70950
E14001454,72168
E14001453,72603
E14001452,75345
E14001451,70184
E14001450,74593
E14001449,73831
E14001448,73730
E14001447,72155
E14001446,71697
E14001445,75037
E14001444,72744
E14001443,75993
E14001442,76139
E14001441,69921
E14001440,71331
E14001439,69999
E14001438,71283
E14001437,76422
E14001436,70272
E14001435,75256
E14001434,73041
E14001433,72946
E14001432,74253
E14001431,71844
E14001430,75814
E14001429,72162
E14001428,72751
E14001427,73495
E14001426,73378
E14001425,72273
E14001424,76720
E14001423,71377
E14001422,76941
E14001421,71176
E14001420,72004
E14001419,72371
E14001418,71595
E14001417,71571
E14001416,74183
E14001415,72997
E14001414,74317
E14001413,70335
E14001412,76076
E14001411,74515
E14001410,75327
E14001409,73301
E14001408,71441
E14001407,71512
E14001406,75713
E14001405,75200
E14001404,75373
E14001403,76004
E14001402,76280
E14001401,73556
E14001400,70245
E14001399,73963
E14001398,77052
E14001397,72541
E14001396,70719
E14001395,70894
E14001394,73113
E14001393,76849
E14001392,73306
E14001391,72344
E14001390,70806
E14001389,73079
E14001388,72109
E14001387,76455
E14001386,70915
E14001385,75034
E14001384,76319
E14001383,75388
E14001382,71299
E14001381,72956
E14001380,70025
E14001379,76503
E14001378,76875
E14001377,76460
E14001376,71631
E14001375,76478
E14001374,71009
E14001373,73823
E14001372,76040
E14001371,76877
E14001370,70620
E14001369,76708
E14001368,69967
E14001367,71742
E14001366,72255
E14001365,71060
E14001364,76173
E14001363,74305
E14001362,70085
E14001361,69775
E14001360,72240
E14001359,71748
E14001358,74211
E14001357,71615
E14001356,71823
E14001355,74680
E14001354,71614
E14001353,70692
E14001352,75311
E14001351,76794
E14001350,76517
E14001349,73084
E14001348,73463
E14001347,75881
E14001346,70197
E14001345,73266
E14001344,73967
E14001343,75959
E14001342,73902
E14001341,70730
E14001340,71076
E14001339,71181
E14001338,70157
E14001337,70372
E14001336,74128
E14001335,74942
E14001334,71330
