ConstCode,Const,onep16-49,onep16-49p,onep50-99,onep50-99p,othermixed16-49,othermixed16-49p,othermixed50-99,othermixed50-99p,singlefam0-15,singlefam0-15p,singlefam16-49,singlefam16-49p,singlefam50-99,singlefam50-99p
E14001063,Aldershot,3733,3.20%,8372,7.30%,9021,7.80%,5172,4.50%,19486,16.90%,40183,34.90%,26967,23.40%
E14001064,Aldridge-Brownhills,2066,2.20%,9029,9.70%,3902,4.20%,2875,3.10%,15145,16.30%,29785,32.00%,28881,31.00%
E14001065,Altrincham and Sale West,2634,2.70%,8642,8.60%,3563,3.50%,2428,2.40%,20252,20.20%,34321,34.20%,27173,27.10%
E14001066,Amber Valley,3298,3.60%,9186,10.30%,2866,3.20%,1985,2.20%,14391,16.10%,29070,32.50%,27843,31.10%
E14001067,Arundel and South Downs,1645,1.70%,10383,10.90%,3226,3.50%,3094,3.20%,14183,14.90%,25653,26.90%,36363,38.10%
E14001068,Ashfield,3157,3.40%,8838,9.40%,3722,3.90%,2337,2.50%,16323,17.30%,31346,33.30%,27146,28.80%
E14001069,Ashford,3014,2.80%,7744,7.30%,6635,6.20%,4050,3.80%,19964,18.80%,36360,34.30%,26350,24.80%
E14001070,Ashton-under-Lyne,4109,4.20%,9554,9.60%,5667,5.80%,2926,2.90%,18320,18.40%,33419,33.60%,23203,23.30%
E14001071,Aylesbury,3882,3.60%,8303,7.60%,6552,6.00%,3296,3.00%,20514,18.90%,37956,35.00%,26184,24.10%
E14001072,Banbury,3340,3.30%,8653,8.60%,6422,6.50%,2982,3.00%,17143,17.10%,32305,32.10%,27874,27.80%
E14001073,Barking,3986,3.00%,6285,4.70%,18924,14.20%,6550,4.90%,28379,21.30%,45101,33.80%,17241,12.90%
E14001074,Barnsley North,4244,4.10%,9899,9.50%,4164,3.90%,2273,2.20%,17910,17.30%,35132,33.80%,28720,27.70%
E14001075,Barnsley South,4456,4.30%,10424,10.00%,4358,4.20%,2185,2.10%,18233,17.50%,34905,33.50%,28165,27.00%
