ConstCode,Const,xapply,xapplyp,L1-L3,L1-L3p,L10-L11,L10-L11p,L12,L12p,L13,L13p,L4-L6,L4-L6p,L7,L7p,L8-L9,L8-L9p,xworkedunemployed,xworkedunemployedp,student,studentp
E14001063,Aldershot,21769,18.50%,12506,10.60%,5879,5.00%,12534,10.70%,10253,8.70%,20127,17.10%,13041,11.10%,9151,7.80%,7500,6.40%,4670,4.00%
E14001064,Aldridge-Brownhills,16654,17.80%,8383,9.00%,4794,5.10%,9958,10.60%,10161,10.90%,15736,16.80%,10214,10.90%,7639,8.20%,6004,6.40%,4064,4.30%
E14001065,Altrincham and Sale West,21480,21.30%,18988,18.80%,2730,2.70%,6334,6.30%,5028,5.00%,19240,19.10%,9291,9.20%,8002,7.90%,4927,4.90%,4902,4.90%
E14001066,Amber Valley,15312,17.00%,7182,8.00%,5849,6.50%,10363,11.50%,13483,14.90%,13588,15.00%,8469,9.40%,7353,8.10%,5699,6.30%,3022,3.30%
E14001067,Arundel and South Downs,15417,15.90%,14438,14.90%,3772,3.90%,7362,7.60%,5860,6.00%,19551,20.10%,9243,9.50%,13547,13.90%,4254,4.40%,3735,3.80%
E14001068,Ashfield,17571,18.50%,5735,6.00%,6259,6.60%,11559,12.20%,15287,16.10%,12720,13.40%,8668,9.10%,6853,7.20%,6936,7.30%,3433,3.60%
E14001069,Ashford,21945,20.50%,10175,9.50%,5523,5.20%,10671,10.00%,9612,9.00%,18080,16.90%,10850,10.20%,8988,8.40%,6244,5.80%,4728,4.40%
E14001070,Ashton-under-Lyne,20588,20.60%,6272,6.30%,4975,5.00%,10561,10.60%,12951,12.90%,13090,13.10%,10506,10.50%,7212,7.20%,9035,9.00%,4849,4.80%
E14001071,Aylesbury,22417,20.50%,12588,11.50%,4701,4.30%,9449,8.60%,9171,8.40%,19621,17.90%,11229,10.30%,9916,9.10%,5705,5.20%,4670,4.30%
E14001072,Banbury,18983,18.70%,12057,11.90%,4934,4.90%,9910,9.70%,11297,11.10%,17046,16.80%,9264,9.10%,9670,9.50%,4525,4.40%,4005,3.90%
E14001073,Barking,35395,26.50%,7021,5.20%,4770,3.60%,11638,8.70%,12670,9.50%,14813,11.10%,9965,7.40%,12859,9.60%,13390,10.00%,11295,8.40%
E14001074,Barnsley North,19225,18.40%,6186,5.90%,6390,6.10%,11353,10.90%,16940,16.20%,14293,13.70%,9611,9.20%,8009,7.70%,8455,8.10%,4038,3.90%
E14001075,Barnsley South,19663,18.80%,5243,5.00%,6614,6.30%,12402,11.80%,17051,16.30%,12816,12.20%,9590,9.10%,8009,7.60%,9581,9.10%,3894,3.70%
E14001076,Barrow and Furness,16083,16.50%,8951,9.20%,6817,7.00%,11439,11.70%,12203,12.50%,15730,16.10%,8686,8.90%,7263,7.50%,7189,7.40%,3064,3.10%
E14001077,Basildon and Billericay,23513,21.80%,10545,9.80%,4499,4.20%,10225,9.50%,10362,9.60%,16541,15.30%,11795,10.90%,9447,8.70%,6667,6.20%,4508,4.20%
E14001078,Basingstoke,21167,19.20%,13858,12.60%,5252,4.80%,10755,9.80%,10694,9.70%,18947,17.20%,12120,11.00%,7632,6.90%,5431,4.90%,4172,3.80%
E14001079,Bassetlaw,18344,17.60%,7751,7.40%,6365,6.10%,11822,11.30%,15852,15.20%,15791,15.20%,9251,8.90%,8029,7.70%,7301,7.00%,3696,3.50%
E14001080,Bath,15151,14.80%,14911,14.60%,3105,3.00%,6869,6.70%,6622,6.50%,17892,17.50%,7216,7.00%,8202,8.00%,3761,3.70%,18682,18.20%
E14001081,Battersea,16978,15.60%,27569,25.30%,2590,2.40%,5640,5.20%,5351,4.90%,23139,21.20%,7125,6.50%,7950,7.30%,5963,5.50%,6594,6.10%
E14001082,Beaconsfield,18123,18.80%,16688,17.30%,3347,3.50%,6287,6.50%,5366,5.60%,18541,19.20%,9290,9.60%,10290,10.70%,4503,4.70%,4041,4.20%
E14001083,Beckenham and Penge,20137,18.80%,19159,17.90%,3047,2.80%,6518,6.10%,5153,4.80%,22615,21.10%,10771,10.10%,9220,8.60%,5539,5.20%,4992,4.70%
E14001084,Bedford,21497,19.50%,9706,8.80%,4882,4.40%,10403,9.50%,14270,13.00%,16334,14.90%,10064,9.20%,8633,7.90%,8104,7.40%,6073,5.50%
E14001085,Bermondsey and Old Southwark,15014,14.00%,23072,21.50%,3196,3.00%,6450,6.00%,7309,6.80%,18600,17.40%,7043,6.60%,6674,6.20%,7519,7.00%,12282,11.50%
E14001086,Bethnal Green and Stepney,23624,18.60%,17530,13.80%,3747,3.00%,8565,6.80%,7672,6.10%,18226,14.40%,7895,6.20%,7254,5.70%,16069,12.70%,16174,12.80%
E14001087,Beverley and Holderness,13580,15.20%,9122,10.20%,4812,5.40%,9191,10.30%,8691,9.70%,17130,19.10%,9478,10.60%,8428,9.40%,5280,5.90%,3791,4.20%
E14001088,Bexhill and Battle,13119,14.70%,9222,10.30%,3866,4.30%,8994,10.10%,6172,6.90%,16692,18.70%,9822,11.00%,12426,13.90%,5696,6.40%,3101,3.50%
